device_id,device_name,status,timestamp
1,ROG,0,17-07-2023 21:14
2,Narzo50,1,17-07-2023 21:14
3,6A,1,17-07-2023 21:14
4,Tab A7,0,17-07-2023 21:14
5,N55,1,17-07-2023 21:14
1,ROG,0,17-07-2023 21:19
2,Narzo50,1,17-07-2023 21:19
3,6A,1,17-07-2023 21:19
4,Tab A7,1,17-07-2023 21:19
5,N55,1,17-07-2023 21:19
1,ROG,1,17-07-2023 21:22
2,Narzo50,1,17-07-2023 21:22
3,6A,1,17-07-2023 21:22
4,Tab A7,1,17-07-2023 21:22
5,N55,1,17-07-2023 21:22
1,ROG,1,17-07-2023 22:12
2,Narzo50,1,17-07-2023 22:12
3,6A,1,17-07-2023 22:12
4,Tab A7,1,17-07-2023 22:12
1,ROG,1,17-07-2023 22:38
2,Narzo50,1,17-07-2023 22:38
3,6A,0,17-07-2023 22:38
4,Tab A7,1,17-07-2023 22:38
5,N55,0,17-07-2023 22:38
6,Amazon,1,17-07-2023 22:38
1,ROG,1,17-07-2023 22:56
2,Narzo50,1,17-07-2023 22:56
3,6A,1,17-07-2023 22:56
4,Tab A7,1,17-07-2023 22:56
5,N55,1,17-07-2023 22:56
6,Amazon,1,17-07-2023 22:56
7,IRCTC,0,17-07-2023 22:56
1,ROG,1,18-07-2023 11:00
2,Narzo50,1,18-07-2023 11:00
3,6A,1,18-07-2023 11:00
4,Tab A7,0,18-07-2023 11:00
5,N55,0,18-07-2023 11:00
6,Amazon,1,18-07-2023 11:00
1,ROG,1,18-07-2023 12:22
2,Narzo50,1,18-07-2023 12:22
3,6A,1,18-07-2023 12:22
4,Tab A7,0,18-07-2023 12:22
5,N55,1,18-07-2023 12:22
6,Amazon,1,18-07-2023 12:22
7,Google,1,18-07-2023 12:22
